DocumentId,PartnerId,DocumentDate,City,Sales
814237,4,24/08/2022,BRASOV,541
839201,4,14/12/2022,BRASOV,864
765896,113,15/02/2022,DEJ,-334
799330,113,28/06/2022,DEJ,42
782845,113,29/04/2022,DEJ,70
766389,113,17/02/2022,DEJ,247
840276,113,20/12/2022,DEJ,285
797730,113,22/06/2022,DEJ,309
792030,113,31/05/2022,DEJ,326
770767,113,08/03/2022,DEJ,713
808715,113,02/08/2022,DEJ,713
811964,113,16/08/2022,DEJ,761
809018,113,03/08/2022,DEJ,862
836740,113,29/11/2022,DEJ,973
785648,113,10/05/2022,DEJ,"1,019"
785809,113,10/05/2022,DEJ,"1,226"
769798,113,04/03/2022,DEJ,"1,266"
823221,113,29/09/2022,DEJ,"1,392"
832615,113,09/11/2022,DEJ,"5,285"
759803,113,17/01/2022,DEJ,"5,569"
832624,113,09/11/2022,DEJ,"5,697"
794600,113,09/06/2022,DEJ,"6,281"
757607,113,06/01/2022,DEJ,"6,443"
766394,113,17/02/2022,DEJ,"7,357"
799317,113,28/06/2022,DEJ,"7,396"
774381,113,24/03/2022,DEJ,"7,769"
782640,113,28/04/2022,DEJ,"7,817"
764256,113,08/02/2022,DEJ,"7,849"
785846,113,10/05/2022,DEJ,"8,113"
792026,113,31/05/2022,DEJ,"8,121"
797533,113,21/06/2022,DEJ,"8,142"
788232,113,18/05/2022,DEJ,"8,663"
770918,113,09/03/2022,DEJ,"8,702"
802028,113,08/07/2022,DEJ,"8,979"
777007,113,05/04/2022,DEJ,"9,097"
769822,113,04/03/2022,DEJ,"9,968"
818033,113,08/09/2022,DEJ,"10,516"
780192,113,18/04/2022,DEJ,"11,063"
811961,113,16/08/2022,DEJ,"11,445"
814828,113,25/08/2022,DEJ,"11,630"
804840,113,19/07/2022,DEJ,"11,854"
829273,113,25/10/2022,DEJ,"12,391"
820684,113,20/09/2022,DEJ,"12,469"
840292,113,20/12/2022,DEJ,"13,031"
835397,113,23/11/2022,DEJ,"14,913"
822438,113,27/09/2022,DEJ,"15,127"
808623,113,02/08/2022,DEJ,"16,489"
838861,113,13/12/2022,DEJ,"21,734"
832034,124,07/11/2022,BRASOV,77
760488,124,20/01/2022,BRASOV,188
759098,124,14/01/2022,BRASOV,246
820633,124,20/09/2022,BRASOV,302
775209,124,28/03/2022,BRASOV,304
792561,124,02/06/2022,BRASOV,407
831071,124,01/11/2022,BRASOV,583
773403,125,21/03/2022,BRASOV,445
798008,142,23/06/2022,SIGHISOARA,78
827065,142,17/10/2022,SIGHISOARA,186
781518,142,26/04/2022,SIGHISOARA,930
783477,143,03/05/2022,BRASOV,0
820312,143,19/09/2022,BRASOV,0
784926,143,06/05/2022,BRASOV,50
809554,143,04/08/2022,BRASOV,355
764783,143,10/02/2022,BRASOV,452
822055,143,26/09/2022,BRASOV,506
809066,143,03/08/2022,BRASOV,525
757230,143,04/01/2022,BRASOV,576
775615,143,29/03/2022,BRASOV,603
784062,143,04/05/2022,BRASOV,716
803429,143,14/07/2022,BRASOV,732
815491,143,30/08/2022,BRASOV,832
835865,143,25/11/2022,BRASOV,915
830110,143,28/10/2022,BRASOV,924
841365,143,29/12/2022,BRASOV,"1,000"
792769,143,03/06/2022,BRASOV,"1,133"
817399,152,06/09/2022,SANGEORGIU DE MURES,798
777003,152,05/04/2022,TARGU-MURES,816
801382,152,06/07/2022,SANGEORGIU DE MURES,816
789907,152,24/05/2022,TARGU-MURES,816
817401,152,06/09/2022,SANGEORGIU DE MURES,"1,011"
801381,152,06/07/2022,TARGU-MURES,"1,035"
789905,152,24/05/2022,SANGEORGIU DE MURES,"1,035"
777024,152,05/04/2022,SANGEORGIU DE MURES,"1,631"
801374,152,06/07/2022,SANGEORGIU DE MURES,"1,773"
770746,155,08/03/2022,CLUJ-NAPOCA,329
832568,155,09/11/2022,CLUJ-NAPOCA,405
760546,161,20/01/2022,BUCURESTI SECTORUL 6,0
760762,161,21/01/2022,BUCURESTI SECTORUL 6,0
760676,161,21/01/2022,BRASOV,158
814913,161,26/08/2022,BRASOV,222
810314,161,09/08/2022,BRASOV,224
815359,161,29/08/2022,BRASOV,249
772895,161,18/03/2022,BRASOV,364
