PartnerId,Frequency,Recency,Monetary,Cluster
4,2,16,1404.8000000000002,0
113,45,10,310114.5,2
124,7,53,2106.01,0
125,1,284,445.0,1
142,3,74,1193.42,0
143,16,1,9319.67,0
152,9,115,9731.34,0
155,2,51,734.0999999999999,0
161,39,22,24980.81,0
162,108,3,131427.37,2
193,39,11,75121.14,0
202,24,3,16317.29,0
241,2,211,515.97,1
257,24,11,8623.54,0
281,9,32,24458.760000000002,0
289,2,86,921.9300000000001,0
300,8,154,4327.86,1
316,157,2,85558.31,2
324,6,16,3162.95,0
331,40,0,12853.91,0
342,70,11,90732.7,2
353,5,10,3794.84,0
360,13,16,2733.5699999999997,0
365,16,35,7129.46,0
417,1,107,285.26,0
438,3,255,744.57,1
442,35,11,27156.19,0
446,4,98,3327.4799999999996,0
461,7,65,1855.3000000000002,0
476,13,158,4174.07,1
484,23,10,8800.47,0
486,8,11,3645.98,0
488,8,51,1888.6,0
492,13,282,9516.07,1
500,1,183,505.08000000000004,1
505,29,11,27110.91,0
523,1,233,574.37,1
524,82,3,110293.37,2
533,9,45,4199.88,0
549,1,288,685.74,1
554,119,0,156477.23,2
564,35,11,28342.5,0
574,5,123,3576.6100000000006,0
591,3,74,1146.2600000000002,0
603,16,37,8572.99,0
615,20,21,4679.89,0
624,49,31,25337.81,0
633,23,39,16069.39,0
650,32,8,78504.25,0
667,7,93,3961.1400000000003,0
678,4,248,1204.92,1
684,2,72,3380.27,0
689,31,9,39369.94,0
690,52,3,40745.02,0
697,15,16,8263.08,0
698,25,18,21999.68,0
708,18,17,23884.38,0
723,26,9,20825.86,0
732,4,2,2473.92,0
738,6,11,4139.29,0
770,2,115,201.27,0
775,4,128,1030.25,0
777,6,10,1630.6799999999998,0
780,80,17,33443.06,0
791,6,129,7160.89,0
793,31,10,21116.11,0
838,1,197,350.1,1
856,5,92,2730.25,0
864,31,3,19175.78,0
882,58,11,28548.95,0
889,1,339,1755.32,1
917,13,10,11991.68,0
942,3,22,897.4099999999999,0
946,1,262,1549.5,1
954,47,2,59089.29,0
967,8,17,6517.46,0
975,2,161,2077.56,1
977,10,51,10763.07,0
1009,4,189,2611.26,1
1018,12,185,14064.67,1
1019,6,0,4836.3,0
1023,24,3,15750.27,0
1029,13,3,8170.75,0
1035,39,2,50177.44,0
1038,19,10,4599.87,0
1049,17,43,5570.07,0
1058,31,2,12663.44,0
1059,9,37,8906.89,0
1073,27,45,17047.79,0
1077,1,332,177.62,1
1083,4,18,2501.04,0
1085,6,148,2065.52,1
1098,397,2,307639.87,2
1106,71,2,87151.93,2
1132,6,72,4595.8,0
1139,11,28,8322.84,0
1141,44,16,47966.4,0
1142,4,112,2502.68,0
1145,3,182,2210.88,1
1155,7,10,2977.99,0
